action,course_id,course_number,current_title,current_credit_hours,new_title,new_credit_hours,prereq_numbers_semicolon,coreq_numbers_semicolon,notes
,912eefae-a32d-4f5b-a8bf-f0c8bcb46537,Chem 100,"Topics will include solutions, kinetics, equilibrium, acid/base chemistry, thermodynamics, electrochemistry, and special topics such as nucle",3.0,,,,,
,764a6d08-e75d-49cc-88e0-476039f01b44,Chem 233,"Topics include mechanisms and reactions of aromatic compounds, organometallics, alcohols, ethers, and carbonyl-containing functional groups t",3.0,,,,,
UPDATE,284e9341-0205-4c19-8780-08ec47b8a07a,Chem 243,Coreq: Chem 335 and Chem 344,3.0,,,,CHEM 335; AND CHEM 344,auto-batch1: extracted prereq/coreq from title text
,726aeff7-26e2-4d65-88a2-6ea56b03054b,Chem 336,Sem hrs: 4 spring of oddnumbered years,3.0,,,,,
UPDATE,9dfcbc1f-d93c-4bb9-a7d9-c4884df80c69,Chem 444,Coreq: Chem 431 or DFCH approval,3.0,,,,CHEM 431,auto-batch1: extracted prereq/coreq from title text
,9d4c5ca7-3e39-4791-afb5-bc10d0721b88,Chinese 365,Sem hrs: 3 fall of even years,3.0,,,,,
,88819fba-98dc-4e4e-bd11-e1511b748fba,Civ Engr 351,"Cadets lead second-class students through hands-on engineering/construction activities, a variety of team building activities, and field trip",3.0,,,,,
UPDATE,760e34c9-45aa-4de2-83eb-d43c0f10dba6,Civ Engr 361,Coreq: Civ Engr 362 and Civ Engr 390,3.0,,,,CIV ENGR 362; AND CIV ENGR 390,auto-batch1: extracted prereq/coreq from title text
,1387fe8f-a0f6-48ec-99a7-041214285ea4,Civ Engr 377,Sem hrs: 0 third summer period,3.0,,,,,
,9c02f2f2-5b67-48e2-87f8-021c4483f57b,Civ Engr 474,Sem hrs: 3 spring,3.0,,,,,
,e38f3ffa-9ea5-47bc-84c2-00db15506cc7,Cyber Sci 334,Sem hrs: 3 fall,3.0,,,,,
,a9b8f6fa-a084-4a54-9b8c-9734351a9a31,ECE 321,Sem hrs: 3 spring,3.0,,,,,
,a58a5c13-a6fa-4101-981a-d392d2458480,ECE 332,Sem hrs: 3 spring,3.0,,,,,
,1d08e5a2-e431-44e3-9064-0f41a73b4394,ECE 382,Sem hrs: 3 spring,3.0,,,,,
,18c6019f-d7cb-4cf6-bb57-a3209db1d637,ECE 447,Sem hrs: 3 spring,3.0,,,,,
,40c68e90-5e40-40b4-81b5-7aa54e6abdce,Econ 365,Sem hrs: 3 spring,3.0,,,,,
,2501acdc-a588-4205-ac5f-84fde113e0a9,Econ 465,Sem hrs: 3 spring,3.0,,,,,
,a356356a-ae24-4a22-88cd-7dd00ea88cfd,English 111,Sem hrs: 3 fall or spring,3.0,,,,,
,5187d80c-c92f-48c5-b78c-8aeb44b272d8,English 211,"Introduces students to literature, an art form requiring deliberative method of reading that addresses questions of meaning in the context of",3.0,,,,,
,c8415644-ee57-443f-bbdb-2536da3369c8,English 400S,Cadets enrolled in the ASP or in one of the Humanities Division majors who did not take English 200S may contact the course director to be pl,3.0,,,,,
,42923a1d-a0dd-4d52-9793-b6b09ae846ea,Engr 346,Sem hrs: 3 spring of even-numbered years,3.0,,,,,
,6cce0a7b-be86-4314-a2f0-c49108fc4539,FYE 101,Sem hrs: 1 spring,3.0,,,,,
,ea216735-65dc-4243-9670-0cc74c8e5a88,French 365,Sem hrs: 3 spring of even years,3.0,,,,,
,09b2fe0a-f040-4350-906a-70eb9d2c641c,GENR 105,Behavioral Sciences Option Placeholder,3.0,,,,,
,9c7a8d1b-dbc0-4c33-8207-7586778b50c0,GENR 107,Chemistry Option Placeholder,3.0,,,,,
,8f1c49ae-1736-4185-8f9a-c25faf65f9b4,GENR 112,Economics Option Placeholder,3.0,,,,,
,ce3d3c42-39e9-4d0b-8ba5-b522f3534623,GENR 120,Legal Studies Option Placeholder,3.0,,,,,
,9a34896d-132f-4b75-af9e-afd98a57ed6e,GENR 123,Mechanical Engineering Option Placeholder,3.0,,,,,
,9ff02115-75e1-47b9-bf6b-4bff40c75107,GENR 126,Operations Research Option Placeholder,3.0,,,,,
,edcaba02-aff9-472a-ab9e-9ecaa6ab956f,GENR 127,Philosophy Option Placeholder,3.0,,,,,
,19146e59-3ef3-406f-a6ba-456f45b9142a,GENR 128,Physics Option Placeholder,3.0,,,,,
,caddc7f5-a269-46b8-805f-5815d7c82db4,GENR 132,Aerospace Materials Option Placeholder,3.0,,,,,
,7df10b4e-f22a-4094-b7b0-f8cf90165469,GENR 133,Airpower Studies Option Placeholder,3.0,,,,,
,664808db-65e2-477b-b132-5a4b26685141,GENR 134,American Studies Option Placeholder,3.0,,,,,
,93844506-f330-4694-93a4-a3d1c903899a,GENR 135,Foreign Language Option Placeholder,3.0,,,,,
,25f3907c-e60f-4918-9c4b-c87bbfe080b9,GENR 136,Future Conflict Option Placeholder,3.0,,,,,
,cbdd7824-188a-4ed0-9465-303bfebc1059,GENR 137,Global Logistics Management Option Placeholder,3.0,,,,,
,3bf77f9a-5953-42e8-bbcd-1b53d860c3f4,GENR 138,High Performance Computing Option Placeholder,3.0,,,,,
,977a3925-5111-456c-b531-d5f0cce01017,GENR 139,Nuclear Weapons And Strategy Option Placeholder,3.0,,,,,
,0669545e-49a5-4590-80fa-c9975f5b8beb,GENR 140,Pre-Health Professions Option Placeholder,3.0,,,,,
,325d745b-366a-4b34-b8ce-9861c33c1ea0,GENR 141,Quantum Technologies Option Placeholder,3.0,,,,,
,d20777c0-af7f-4017-924c-36eded5cb271,GENR 142,Religion Studies Option Placeholder,3.0,,,,,
,863ec7a2-5c58-4484-a0bd-24a9c104ed66,GENR 143,Robotics And Autonomous Systems Option Placeholder,3.0,,,,,
,204ab747-44ca-4a69-b405-fb131370f107,GENR 144,Space Warfighting Option Placeholder,3.0,,,,,
,145be55d-a352-47c0-804f-e63d33f40d08,GENR 145,Sustainability Option Placeholder,3.0,,,,,
,97307843-9316-4e2a-b56c-9226af888929,Geo 351,Sem hrs: 3 fall of even-numbered years,3.0,,,,,
,1190436d-f001-47aa-8cb2-1f1a691098a5,German 365,Sem hrs: 3 spring of even years,3.0,,,,,
,95b8aab4-6e22-482b-85fb-1c4e73062768,History 100,Sem hrs: 3 spring of even- numbered years,3.0,,,,,
,8d6281bf-de0a-4e86-a854-4737b5d4bd48,Ldrshp 200,Sem hrs,3.0,,,,,
,13244e39-8a28-4df3-857f-dca53ea5c440,Ldrshp 300,Sem hrs,3.0,,,,,
,0e78b3fb-d857-4aff-b3bb-356d4ff621f1,MSS 298,Sem hrs: 3 spring,3.0,,,,,
,f028b4bc-6dad-4667-82b3-ea6309e26cc1,Math 141,Sem hrs: 3 fall or spring,3.0,,,,,
,f12efd97-dd2e-4763-8d1b-28edd8466606,Math 142,Sem hrs: 3 fall or spring,3.0,,,,,
,456ddba1-469b-4c3a-8d73-3963c6e66968,Math 243,Sem hrs: 3 fall,3.0,,,,,
,05d5d316-dbfc-48c7-8191-d8458c24d133,Math 300,Credit will not be given for Math 377 and either Math 300 or Math 356,3.0,,,,,
,4aa89472-0566-4aee-9604-65d51f485adc,Math 374,Sem hrs: 3 spring,3.0,,,,,
,802d3e0f-c1f1-48f1-9fcc-ea857eab9e97,Mech Engr 220,Sem hrs: 3 spring of even-numbered years,3.0,,,,,
UPDATE,4c2f8985-9b39-4794-8d29-388c32def7b0,Mech Engr 312,"Coreq: Mech Engr 341 and Math 342, Math 346, or Engr 346",3.0,,,,MECH ENGR 341; AND MATH 342; MATH 346; OR ENGR 346,auto-batch1: extracted prereq/coreq from title text
UPDATE,b2e6822d-0770-42a5-a725-f1fe1ad48aed,Mech Engr 330,Coreq: Aero Engr 315 and Mech Engr 320,3.0,,,,AERO ENGR 315; AND MECH ENGR 320,auto-batch1: extracted prereq/coreq from title text
UPDATE,ab4e9c1d-fa06-496a-aca1-0ae587eef68c,Mech Engr 341,Coreq (required for Mech Engr majors): Mech Engr 460,3.0,,,,MECH ENGR 460,auto-batch1: extracted prereq/coreq from title text
UPDATE,4d61e246-fa23-43ea-bd55-2984db7239af,Mgt 382,"Prereq: C or better in Mgt 337 or Sys Engr 336, or AIC approval",3.0,,,C OR BETTER IN MGT 337; OR SYS ENGR 336,,auto-batch1: extracted prereq/coreq from title text
,499f7db9-2d0a-4c89-8f10-487b1d5f3fe8,Mgt 400,This substitution occurs on a cadet-by-cadet basis and requires joint approval by the Department Head for each cadet’s major and the DFMA Dep,3.0,,,,,
,81993c01-6d7d-44f9-a3fa-8d969a152645,Philos 210,Sem hrs: 3 fall of evennumbered years,3.0,,,,,
,e9852f2f-b6dc-4a0a-97f8-91495cdfce88,Phy Ed 111,Sem hrs: 0,3.0,,,,,
,585bd559-385a-43db-81ab-53b766cc8892,Phy Ed 215,Sem hrs: 0,3.0,,,,,
,f75ed274-a2f8-4d2a-890e-d9223171d027,Physics 110,Sem hrs: 3 fall or spring,3.0,,,,,
UPDATE,4bb8ed01-3438-4265-b907-0ff95e6b5b1d,Physics 215,Coreq: Math 346 or department approval,3.0,,,,MATH 346,auto-batch1: extracted prereq/coreq from title text
UPDATE,c33a8d5e-c32a-4e86-97e4-9f9ffc7003cf,Physics 264,Coreq: Physics 264 or department approval,3.0,,,,PHYSICS 264,auto-batch1: extracted prereq/coreq from title text
,50c84d39-29b3-476d-aa10-32eea4feae60,Physics 310,Sem hrs: 3 spring,3.0,,,,,
,ada8702c-08db-45a9-a342-ee4901f7ca56,Physics 354,Sem hrs: 3 fall,3.0,,,,,
,4ad15644-1ab8-43aa-8fae-b73e46fd3b80,Physics 355,Sem hrs: 3 spring,3.0,,,,,
,d6738ed3-ed8b-400e-b83b-9e4398c9a9fa,Physics 405,Sem hrs: 4 fall or spring,3.0,,,,,
,2b9a3f4b-3366-481b-aaa8-e8afb8f004a2,Physics 490,Sem hrs: 0 fall or spring,3.0,,,,,
,cc4bccd6-cbf2-4880-8177-f39d49b83c78,Pol Sci 211,"This course introduces students to the study of politics and government and examines the basic theoretical, structural, and procedural choice",3.0,,,,,
,943907fc-c462-413b-bc7b-a45212a292a7,Portuguese 365,Sem hrs: 3 fall of even years,3.0,,,,,
,86bce790-7d6e-4bff-9740-b2047c5fb35c,Russian 365,Sem hrs: 3 spring of even years,3.0,,,,,
,da9abcac-c451-4ae5-aa0a-e82f676ac241,Space 252,Sem hrs: 3 fall or spring,3.0,,,,,
,982cf198-d5a4-4094-88d3-d8a7a49dbbab,Space 350,"Sem hrs: 0 summer, fall, or spring",3.0,,,,,
,d7bceb3f-6788-41d9-8233-29059b76f36a,Spanish 365,Sem hrs: 3 spring,3.0,,,,,
,4145c8a8-b990-4ae7-b81e-c62a55f8ee4c,Sys Engr 491,Sem hrs: 3-4 spring,3.0,,,,,
