course_id,course_number,current_title,current_period_count,suggested_period_count,confidence,candidate_1,candidate_2,candidate_3,coi_snippet,notes
5876e27e-be46-43ce-9c74-7018aba143f5,Ar Stu 430,Model African Union (MAU),,1,medium,For Ar Stu 430 | Model African Union (MAU) | 3(1),Chinese 430 | Exploring Chinese Culture through Formulaic Expressions | 3(1),French 430 | French Film and Media | 3(1),"tor approval. Sem hrs: 3 fall. This course contributes to the development and assessment of the Human Condition, Cultures, and Societies outcome. English 411. War Stories. 3(1). An Advanced Sociocultural Option, this course focuses on the moral and intellectual aspects of war as expressed in the literature of our prof",review suggested_period_count against COI
b3449d16-fc00-4fdd-8fad-50e0e0976929,Ar Stu 435,Advanced Model African Union (AMAU),,1,medium,For Ar Stu 435 | Advanced Model African Union (AMAU) | 3(1),Chem 435 | Advanced Physical Chemistry | 3(2),"Beh Sci 435 | Judgment, Decision Making, and Augmented Cognition | 3(1)","he text list is composed of important works of fiction, memoir, and film that address the concreteness and complexity of war as well as the ethical issues of leadership. Prereq: English 211 or English 212 or English 200S. Sem hrs: 3 fall or spring. This course contributes to the development and assessment of the Human Condition, C",review suggested_period_count against COI
e4f04f73-82a4-49e0-9cf6-6e7b541f5ba2,Ar Stu 440,Model European Organizations,,1,medium,For Ar Stu 440 | Model European Organizations | 3(1),Beh Sci 440 | Lifespan Development | 3(1),Biology 440 | Anatomy and Physiology: Visceral Systems Integration | 3(2),"credit course affords students the opportunity to do independent research in the content areas and methods the project requires. By the end of the fall semester, students will submit an annotated bibliography and a substantial prospectus outlining the research question their capstone seeks to explore and the provisional claim(",review suggested_period_count against COI
cea182c7-17fa-4b5f-a3ef-944994cd952c,Ar Stu 445,Advanced Model North Atlantic Treaty Organization (AMNATO),,1,medium,For Ar Stu 445 | Advanced Model North Atlantic Treaty Organization (AMNATO) | 3(1),Chem 445 | Advanced Laboratory Techniques | 3(2),Astr Engr 445 | Spacecraft Attitude Dynamics and Control | 3(1),endent research and analytical methods appropriate to the project. Students will present their work-in-progress to the department in order to receive feedback for final revisions. Available to seniors (by application). Prereq: English 489. Sem hrs: 3 spring. English 495. Special topics. 3(1). Selected topics in English. Repeatable once. Final exa,review suggested_period_count against COI
4d875ee9-9d16-49e0-b80b-8491389fa4b0,Ar Stu 491,Culture and the Military Profession,,1,medium,For Ar Stu 491 | Culture and the Military Profession | 3(1),Geo 491 | Capstone Seminar in Geospatial Science: Military Geography | 3(1),Chem 491 | Biochemistry Laboratory | 4(2),pring. English 499B. Independent Study. 1.5(0). Sem hrs: 1.5 fall or spring. English 499C. Independent Study. 1(0). Sem hrs: 1 fall or spring. ENGLISH for ACADEMIC PURPOSES (EAP) Offered by the Academic Success Center (DFVRL) EAP 109. Academic Communication for English as a Second Language Four-year Exchange Cadets.,review suggested_period_count against COI
0aabf355-5fb4-4e54-931f-83a1e07b4f29,Ar Stu 495,Special Topics in Foreign Area Studies,,1,medium,For Ar Stu 495 | Special Topics in Foreign Area Studies | 3(1),Aero Engr 495 | Special Topics | 3(1),Astr Engr 495 | Special Topics | 3(1),"upation, Culture, and Migration. As their research will culminate in a final paper and public presentation, cadets will be given the opportunity to enhance both their research and public speaking and presentation skills. Cadets will examine the course theme through the critical reading of several novels from diverse authors and advanced",review suggested_period_count against COI
59b8356f-f898-4a3f-b66a-c61937f0e60c,Ar Stu 499,Independent Study,,0,medium,Aero Engr 499 | Independent Study | 3(0),Astr Engr 499 | Independent Study | 3(0),Beh Sci 499 | Independent Study | 3(0),ynamics. Techniques include those historically used in incompressible flow up to and including state-of-the-art supersonic solutions using high speed computers. Final exam. Prereq: Aero Engr 342. Sem hrs: 3 fall. Aero Engr 446. Introduction to Hypersonics. 3(1). Analysis of heat transfer and high temperatur,review suggested_period_count against COI
150cae56-65d0-461c-96cd-964ef7594933,Ar Stu 499A,Independent Study,,0,medium,Aero Engr 499A | Independent Study | 2(0),Astr Engr 499A | Independent Study | 2(0),Beh Sci 499A | Independent Study | 2(0),Aero Engr 446. Introduction to Hypersonics. 3(1). Analysis of heat transfer and high temperature effects on hypersonic vehicles. Application to reentry and transatmospheric vehicles. Final exam or final project. Prereq: Aero Engr 241 or Mech Engr 341. Sem hrs: 3 spring. Aero Engr 447. Advanced Applied Ae,review suggested_period_count against COI
0a6c46fa-b8c1-47ab-a4f1-a739835c5c8b,Ar Stu 499B,Independent Study,,0,medium,Aero Engr 499B | Independent Study | 1.5(0),Astr Engr 499B | Independent Study | 1.5(0),Beh Sci 499B | Independent Study | 1.5(0),at transfer and high temperature effects on hypersonic vehicles. Application to reentry and transatmospheric vehicles. Final exam or final project. Prereq: Aero Engr 241 or Mech Engr 341. Sem hrs: 3 spring. Aero Engr 447. Advanced Applied Aerodynamics. 3(1). Advanced topics in steady and unsteady aerodynamics,review suggested_period_count against COI
0f524c3b-5769-49df-b5c8-b3bc0d55c85c,Ar Stu 499C,Independent Study,,0,medium,Aero Engr 499C | Independent Study | 1(0),Astr Engr 499C | Independent Study | 1(0),Beh Sci 499C | Independent Study | 1(0),"tion to reentry and transatmospheric vehicles. Final exam or final project. Prereq: Aero Engr 241 or Mech Engr 341. Sem hrs: 3 spring. Aero Engr 447. Advanced Applied Aerodynamics. 3(1). Advanced topics in steady and unsteady aerodynamics in all speed ranges are considered for study by analytical, experiment",review suggested_period_count against COI
c045172e-0928-4bbd-bb00-0dfa7902587e,Armnshp 302,Powered Flight Training,,1,low,MSS 302 | Future Conflict and Disruptive Technologies | 3(1),Mil Tng 302 | Navy Programs | 0(0),Pol Sci 302 | American Foreign and National Security Policy | 3(1),"specifications determined by faculty members. Final report. Prereq (required for all): C1C standing and team advisor approval. Prereq (required for Mech Engr Majors): Mech Engr 320, Mech Engr 330, Mech Engr 312, Mech Engr 341, and Mech Engr 460. Non-Mech Engr majors are welcome on a case-by-case basis. Waiver authority is the DFME",review suggested_period_count against COI
d33117f6-3c10-4e72-910f-f45925b932e3,Armnshp 401,Private Pilot Certificate (PPC) Training - The Academy,,0,low,Bas Sci 401 | Basis Sciences Divisional Core Substitute | 3(0),Engr 401 | Engineering Divisional Core Substitute | 3(0),For Lang 401 | Intensive Language Study | 3(0),orbit small satellites. Final project or report. Coreq: Astr Engr 310. Prereq: C1C standing (C2C accepted with department approval). Sem hrs: 4 spring. Astr Engr 438. Small Spacecraft Engineering III. 4(2). A continuation of small spacecraft systems engineering. Multi-disciplinary system design or spacecraft hardware and softwar,review suggested_period_count against COI
c2432593-1ab5-41a7-b475-fc7b41f064e5,Armnshp 465,The Academy Flying Team,,1,low,Biology 465 | Advanced Biotechnology Seminar I | 1.5(1),Chem 465 | Chemistry of Advanced Materials | 4(2),Econ 465 | Econometrics II | 3(1),"rial in personal, clinical, and military contexts is emphasized. Laboratory and practical exercises complement the course content and provide hands-on experience with classical and modern techniques used in genetic research and biotechnology. A group laboratory project reinforces course concepts, provides experience with live org",review suggested_period_count against COI
a64d892e-f608-47d8-b6fd-3e5afc3fbd79,Armnshp 490,Basic Parachuting,,1,low,English 490 | Capstone Colloquium | 3(1),MSS 490 | Strategy in Asia and the Pacific | 3(1),Mech Engr 490 | Automotive Systems Analysis for the Engineer | 3(1),"cs, readings in narrative and poetic technique, the philosophical underpinnings of art, and interdisciplinary influences on literary forms. Genres studied may include the novel (historical, sentimental, Gothic, picaresque, realist, modernist, postmodern), poetry (epic, lyric, ballad, confessional), drama (Classical,",review suggested_period_count against COI
ef9e1d18-bbda-4dd7-86bf-e4ad52473ba9,Armnshp 491,Advanced Parachute/Jumpmaster/Instructor Training,,2,low,Chem 491 | Biochemistry Laboratory | 4(2),For Ar Stu 491 | Culture and the Military Profession | 3(1),Geo 491 | Capstone Seminar in Geospatial Science: Military Geography | 3(1),"Topics include ultraviolet, visible, infrared absorption, Raman and emission spectroscopies; mass spectrometry, nuclear magnetic resonance and electron paramagnetic resonance spectroscopy; chromatography; thermal methods, and other methods as appropriate. Applied numeric methods will also be discussed, with an empha",review suggested_period_count against COI
c41676ff-43e9-42f7-97b8-b7beedf24eed,Armnshp 496,Parachute Team,,1,low,Civ Engr 496 | Airfield Design | 3(1),Comp Sci 496 | Computer Science Seminar | 3(1),Pol Sci 496 | Causes of War and Conflict Resolution | 3(1),r work and iterate towards a more robust final solution. Prereq: Civ Engr 451 or department approval. Sem hrs: 3 spring. Civ Engr 456. Sustainability Capstone. 3(1). Life-Cycle Assessment (LCA) has become a leading methodology for assessing environmental impacts and resources used throughout the life of a pro,review suggested_period_count against COI
9874c93a-75ab-4eab-a663-912ee19c7b45,Astro Engr 201,The Astronautical Engineering Option 1 can be chosen from the following courses,,1,medium,Astr Engr 201 | Technology Skills for Astronautics | 1(1),Armnshp 201 | Powered Flight Fundamentals | 0(3),Econ 201 | Introduction to Economics | 3.5(1),"spring, or summer. Armnshp 474. Sailplane Racing / Cross-Country Competition Team. 0(3) Advanced Soaring course designed to challenge aviation and leadership aptitudes. Candidates are selected from AM461 during spring semester of third-class year and typically upgrade during the following summer period(s) and second-class academ",review suggested_period_count against COI
8dfc7750-68e3-4014-90fe-1fb560ddd162,Aviation 100,"Aviation 100, Introduction to Powered Flight Operations",,2,low,Chem 100 | General Chemistry I Lecture and Lab | 4(2),History 100 | The History of Modern Warfare | 3(1),Mil Tng 100 | Basic Cadet Training (BCT) | 0(0),"75% to meet Academy Graduation requirements. Sem hrs: 0 fall or spring. This course, integrated with Leadership 200 and CE200, is a contributor to the development and assessment of the Leadership, Teamwork, and Organizational Management outcome. CE and CL courses are taught within a 10 Lesson block scheduled during the academi",review suggested_period_count against COI
29cd665f-9bec-4b9d-9bfb-494734852ebe,Aviation 202,Cadet VR Instructor Pilot Assistant Duty – AV-100,,,none,,,,,review suggested_period_count against COI
cc5a3e03-cae0-44f0-99cc-c0187787fbc7,Aviation 400,Introduction to T-6 Operations,,1,low,Engr 400 | Divisional Seminar | 3(1),For Ar Stu 400 | Intercultural Competence | 1(0),For Lang 400 | Intensive Language Study | 3(0),"ion and interpolation, discrete Fourier transform, and the fast Fourier transform. Final project. Prereq: ECE 333. Sem hrs: 3 fall. ECE 444. Applied Electromagnetics. 3(1). This course offers an in-depth exploration of applied electromagnetics, with a focus on key areas including antenna theory and design",review suggested_period_count against COI
9eaeb380-e27c-4f95-b5e7-f79abb98687a,Aviation 401,Cadet VR Instructor Cadre - AV100,,0,low,Bas Sci 401 | Basis Sciences Divisional Core Substitute | 3(0),Engr 401 | Engineering Divisional Core Substitute | 3(0),For Lang 401 | Intensive Language Study | 3(0),orbit small satellites. Final project or report. Coreq: Astr Engr 310. Prereq: C1C standing (C2C accepted with department approval). Sem hrs: 4 spring. Astr Engr 438. Small Spacecraft Engineering III. 4(2). A continuation of small spacecraft systems engineering. Multi-disciplinary system design or spacecraft hardware and softwar,review suggested_period_count against COI
0af43e1e-3c4d-4505-8db0-18d01c4bef87,Beh Sci 332,Advanced Research Methods and Statistical Tools,,1,low,Astr Engr 332 | Satellite Communications | 3(1),Biology 332 | Microbial Diversity | 3(1),ECE 332 | Differential Equations with Circuit Applications II | 3(1),"ng is common during the AY, and cadet participation is mandatory. No academic credit. Prereq: USAF Flight Medicine medical exam. Sem hrs: 0 fall, spring, or summer. Armnshp 491. Advanced Parachute/Jumpmaster/Instructor Training. Elective. 0(3) fall. 3(3) spring. A 3° fall and spring semester course designed to create ca",review suggested_period_count against COI
1a6e8c7e-7755-4111-86e5-a340abb6d855,Biology 435,Animal Behavior 3(1),,1,low,"Beh Sci 435 | Judgment, Decision Making, and Augmented Cognition | 3(1)",Chem 435 | Advanced Physical Chemistry | 3(2),Cyber Sci 435 | Cyber Operations | 3(1),"he criminal justice system, the military, and the family; the link between class and race/ethnicity; and how class and race/ethnicity intersect with other social categories. Final paper or final project. Prereq: None, although Beh Sci 360 is recommended. Sem hrs: 3 fall. Beh Sci 363. Crime and Deviance. 3(1). This course will introduce stu",review suggested_period_count against COI
ddebf464-87b8-4cb1-9af4-476bbdf31c22,CE 100,Commissioning Education I,,2,low,Chem 100 | General Chemistry I Lecture and Lab | 4(2),History 100 | The History of Modern Warfare | 3(1),Mil Tng 100 | Basic Cadet Training (BCT) | 0(0),"75% to meet Academy Graduation requirements. Sem hrs: 0 fall or spring. This course, integrated with Leadership 200 and CE200, is a contributor to the development and assessment of the Leadership, Teamwork, and Organizational Management outcome. CE and CL courses are taught within a 10 Lesson block scheduled during the academi",review suggested_period_count against COI
fc0b6090-e8b9-499f-9ee5-79fd61a4eef7,CE 200,Commissioning Education II,,2,low,Chem 200 | General Chemistry II Lecture and Lab | 4(2),History 200 | The Historian's Craft: Introduction to Historical Methodology | 3(1),Philos 200 | Introduction to Philosophy | 3(1),"ively fulfill their role as team leaders and stewards of culture and climate in the Cadet Wing. Pass/Fail. Prereq: CL200. Assessment: Closed-book test. Grading criteria: Each cadet must complete each closed-book test and score at least 75% to meet Academy Graduation requirements. Sem hrs: 0 fall or spring. This course, integ",review suggested_period_count against COI
61b24b38-6d74-4e37-8d0b-da9ad712a750,CE 300,Commissioning Education III,,0,low,Aviation 300 | Powered Flight Training Ground School | 0(0),Creat Art 300 | Creative Writing: Prose (Fiction/Nonfiction) | 3(1),English 300 | Literary and Linguistic Problems | 3(1),its are examined. Least Squares and Kalman filter estimation techniques are applied to the orbital prediction problem using batch and sequential processing. Structured computer programming is used extensively in problem solutions. Final exam. Prereq: Astr Engr 321. Sem hrs: 3 spring. Astr Engr 423. Space Mission Design. 3(1),review suggested_period_count against COI
e075499a-3b69-4664-bf95-3690955e8bb6,CE 400,Commissioning Education IV,,1,low,Engr 400 | Divisional Seminar | 3(1),For Ar Stu 400 | Intercultural Competence | 1(0),For Lang 400 | Intensive Language Study | 3(0),"ion and interpolation, discrete Fourier transform, and the fast Fourier transform. Final project. Prereq: ECE 333. Sem hrs: 3 fall. ECE 444. Applied Electromagnetics. 3(1). This course offers an in-depth exploration of applied electromagnetics, with a focus on key areas including antenna theory and design",review suggested_period_count against COI
8efd383fae464b009ebb97d2302ed755,CHEM 381C,Chemistry of the Environment,,,none,,,,,review suggested_period_count against COI
017e5efd-642d-4af1-8921-ca088ca09d6b,CL 100,Character and Leadership I,,2,low,Chem 100 | General Chemistry I Lecture and Lab | 4(2),History 100 | The History of Modern Warfare | 3(1),Mil Tng 100 | Basic Cadet Training (BCT) | 0(0),"75% to meet Academy Graduation requirements. Sem hrs: 0 fall or spring. This course, integrated with Leadership 200 and CE200, is a contributor to the development and assessment of the Leadership, Teamwork, and Organizational Management outcome. CE and CL courses are taught within a 10 Lesson block scheduled during the academi",review suggested_period_count against COI
ac7e686d-a056-40e1-af2d-6ca5bace20cd,CL 200,Character and Leadership II,,2,low,Chem 200 | General Chemistry II Lecture and Lab | 4(2),History 200 | The Historian's Craft: Introduction to Historical Methodology | 3(1),Philos 200 | Introduction to Philosophy | 3(1),"ively fulfill their role as team leaders and stewards of culture and climate in the Cadet Wing. Pass/Fail. Prereq: CL200. Assessment: Closed-book test. Grading criteria: Each cadet must complete each closed-book test and score at least 75% to meet Academy Graduation requirements. Sem hrs: 0 fall or spring. This course, integ",review suggested_period_count against COI
01a91a14-015b-4ebc-891b-95440c82fbbc,CL 300,Character and Leadership III,,0,low,Aviation 300 | Powered Flight Training Ground School | 0(0),Creat Art 300 | Creative Writing: Prose (Fiction/Nonfiction) | 3(1),English 300 | Literary and Linguistic Problems | 3(1),its are examined. Least Squares and Kalman filter estimation techniques are applied to the orbital prediction problem using batch and sequential processing. Structured computer programming is used extensively in problem solutions. Final exam. Prereq: Astr Engr 321. Sem hrs: 3 spring. Astr Engr 423. Space Mission Design. 3(1),review suggested_period_count against COI
1389e203-427b-4af4-a031-0f25345fd83d,CL 400,Character and Leadership IV,,1,low,Engr 400 | Divisional Seminar | 3(1),For Ar Stu 400 | Intercultural Competence | 1(0),For Lang 400 | Intensive Language Study | 3(0),"ion and interpolation, discrete Fourier transform, and the fast Fourier transform. Final project. Prereq: ECE 333. Sem hrs: 3 fall. ECE 444. Applied Electromagnetics. 3(1). This course offers an in-depth exploration of applied electromagnetics, with a focus on key areas including antenna theory and design",review suggested_period_count against COI
db981b28-d182-4bf2-9f68-bec33b978627,CS 101,Intro CS,,1,low,Lrn Strt 101 | Learning Strategies for Academic and Career Success | 0(1),Mil Tng 101 | Operation Air Force-Preflight (3°) | 0(0),,"s-on application class that allows students to practice problem-solving skills and to communicate solutions and rationale in an appropriate manner. Cadets cannot earn credit for both Law 421 and Law 422. Final paper, project, report, or exam. Prereq: Law 220 and C1C standing or departmental approval. Sem hrs: 3 spring. Law 440. Cyber Law. 3",review suggested_period_count against COI
e97e8016-992f-4d75-b8e8-871d138fd302,CS 102,Intro CS 2,,,none,,,,,review suggested_period_count against COI
51672042-0355-41cd-9ae1-7d7483986d7d,CS 201,Data Structures,,3,low,Armnshp 201 | Powered Flight Fundamentals | 0(3),Astr Engr 201 | Technology Skills for Astronautics | 1(1),Econ 201 | Introduction to Economics | 3.5(1),"gr 447. Advanced Applied Aerodynamics. 3(1). Advanced topics in steady and unsteady aerodynamics in all speed ranges are considered for study by analytical, experimental and computational methods. Final exam or final project. Coreq: Aero Engr 442. Sem hrs: 3 spring. Aero Engr 456. Flight Test Techniques. 3(2). F",review suggested_period_count against COI
1f61de85-7bac-4016-8894-b7fd7e186f63,CS 202,Algorithms,,,none,,,,,review suggested_period_count against COI
2795ee8b-102a-4ad7-aa25-4683b4115c46,CS 210,Programming Fundamentals,,2,medium,Comp Sci 210 | Programming Fundamentals | 4(2),Aero Engr 210 | Fundamentals of Aeronautics for Engineering majors | 3(1),ECE 210 | Introduction to Electrical and Computer Engineering | 1(1),ther teams from universities across the western U.S. The deliverables include the final versions of all cadet work and their Lessons learned for next year’s teams. The course is offered in the last 20 Lessons (21-40) of the fall semester. Final project and presentation. Prereq/Coreq: One of the civil engineering design,review suggested_period_count against COI
4a4235d6-4b57-4e8e-a891-8a4be09f766f,CS 310,Systems Analysis,,1,medium,Ops Rsch 310 | Systems Analysis | 3(1),Sys Engr 310 | Introduction to Systems Engineering | 3(1),Astr Engr 310 | Introduction to Astronautics | 3(1),ERL) for Civ Engr 351. Not Graded. Sem hrs: 0 summer. Mil Tng 352. SAME/Academy Engineering and Construction Camp Cadre (CE-SAME). 0(0). Career Broadening. C1C Civ Engr cadets selected by the Department of Civil and Environmental Engineering serve as Flight Commanders for high school students during the s,review suggested_period_count against COI
9d4c5ca7-3e39-4791-afb5-bc10d0721b88,Chinese 365,Chinese Civilization and Culture,,1,low,Beh Sci 365 | Sociological Theory | 3(1),Biology 365 | Synthetic Biology and Biotechnology Seminar I | 1.5(1),Econ 365 | Econometrics I | 3(1),"erstand the nature and causes of individual behavior in social situations. In other words, social psychology explains how the average person reacts to various social pressures. Topics covered include social perception, attitudes, prejudice and discrimination, interpersonal attraction, social influence, prosocial be",review suggested_period_count against COI
c2610bca-d82b-4d9f-9481-ce500215a05a,Civ Engr 486,Applied Construction Practices,,1,low,Physics 486 | Astrophysics | 3(1),Smr Rsch 486 | Summer Research Leadership with Summer Break | 0(0),,sics. Course emphasizes the use of vectors and calculus in problem solving. Course includes in-class laboratories and computer applications to highlight key concepts. Highly desirable for course to be taken in the semester immediately following the successful completion of Physics 110. Final exam. Prereq:,review suggested_period_count against COI
66199caf-5280-4690-8c10-a441ea419f5a,Comm Strt 101,Introduction to Communication,,1,low,Lrn Strt 101 | Learning Strategies for Academic and Career Success | 0(1),Mil Tng 101 | Operation Air Force-Preflight (3°) | 0(0),,"s-on application class that allows students to practice problem-solving skills and to communicate solutions and rationale in an appropriate manner. Cadets cannot earn credit for both Law 421 and Law 422. Final paper, project, report, or exam. Prereq: Law 220 and C1C standing or departmental approval. Sem hrs: 3 spring. Law 440. Cyber Law. 3",review suggested_period_count against COI
eba0e7d7-9b8a-4b46-9ef9-26631f456264,Comp Sci 206,Fundamentals of Programming for Engineers,,,none,,,,,review suggested_period_count against COI
e9ecc0a1-dcf9-43f1-be1e-11da0104a326,Division Hum 200S,Introduction to the Humanities,,1,medium,Hum 200S | Introduction to the Humanities | 3(1),English 200S | Literature and the Fine Arts I (Medieval Period to the Enlightenment) | 3(1),,"dets to the vast array of interactions and the impacts of these contacts, both in the metropole and the colony. The course will also highlight colonial critiques of empire, building towards the era of rapid decolonization. It will analyze the challenges and opportunities facing both newly independent nation-states and thei",review suggested_period_count against COI
926d07521cfe48d69f3effbbb7ca5a79,ECE 322,Electronics II,,1,low,History 322 | Conquest of the New Frontier: A History of Space Power | 3(1),,,"dictatorship and democracy; racism/genocide and human rights; the state and the people; regionalism and integration. Major eras include Napoleon's wars for empire, industrial revolutions, European nationalist movements, World War I, the inter-war years, World War II, the decline of the European empires, and the Cold War. This course concludes with a",review suggested_period_count against COI
6703d78382e047c588dd549f2874825e,ECON 477,Economics of Inequality,,1,low,Mgt 477 | Operations & Project Management | 3(1),Pol Sci 477 | Politics of the Middle East | 3(1),,"or final project. Prereq: None. Sem hrs: 3 spring. Mgt 382. Investments. 3(1). This course introduces financial markets, investment vehicles (stocks, bonds, mutual funds, and derivatives), and retirement planning. Specific topics include time value of money, risk and return, valuation, portfolio mathematics, behavi",review suggested_period_count against COI
1bf7a97f-ed1c-4b50-867d-35acf61c68dd,Ed Aca 499,Independent Study,,0,medium,Aero Engr 499 | Independent Study | 3(0),Astr Engr 499 | Independent Study | 3(0),Beh Sci 499 | Independent Study | 3(0),ynamics. Techniques include those historically used in incompressible flow up to and including state-of-the-art supersonic solutions using high speed computers. Final exam. Prereq: Aero Engr 342. Sem hrs: 3 fall. Aero Engr 446. Introduction to Hypersonics. 3(1). Analysis of heat transfer and high temperatur,review suggested_period_count against COI
89913edb-119b-40a8-b0e0-5b5da294cb36,Ed Aca 499A,Independent Study,,0,medium,Aero Engr 499A | Independent Study | 2(0),Astr Engr 499A | Independent Study | 2(0),Beh Sci 499A | Independent Study | 2(0),Aero Engr 446. Introduction to Hypersonics. 3(1). Analysis of heat transfer and high temperature effects on hypersonic vehicles. Application to reentry and transatmospheric vehicles. Final exam or final project. Prereq: Aero Engr 241 or Mech Engr 341. Sem hrs: 3 spring. Aero Engr 447. Advanced Applied Ae,review suggested_period_count against COI
4c9bceb9-457c-4161-bf5a-d16272081381,Ed Aca 499B,Independent Study,,0,medium,Aero Engr 499B | Independent Study | 1.5(0),Astr Engr 499B | Independent Study | 1.5(0),Beh Sci 499B | Independent Study | 1.5(0),at transfer and high temperature effects on hypersonic vehicles. Application to reentry and transatmospheric vehicles. Final exam or final project. Prereq: Aero Engr 241 or Mech Engr 341. Sem hrs: 3 spring. Aero Engr 447. Advanced Applied Aerodynamics. 3(1). Advanced topics in steady and unsteady aerodynamics,review suggested_period_count against COI
17790d4f-5243-45e2-8578-cb5f055da443,Ed Aca 499C,Independent Study,,0,medium,Aero Engr 499C | Independent Study | 1(0),Astr Engr 499C | Independent Study | 1(0),Beh Sci 499C | Independent Study | 1(0),"tion to reentry and transatmospheric vehicles. Final exam or final project. Prereq: Aero Engr 241 or Mech Engr 341. Sem hrs: 3 spring. Aero Engr 447. Advanced Applied Aerodynamics. 3(1). Advanced topics in steady and unsteady aerodynamics in all speed ranges are considered for study by analytical, experiment",review suggested_period_count against COI
