course_number,course_id,raw_prereq_text,candidate_prereqs,candidate_coreqs,unmapped_numbers,suggested_non_or_prereqs,suggested_non_or_coreqs,resolution_mode,resolved_prereqs_semicolon,resolved_coreqs_semicolon,notes
Beh Sci 314,eec6a059-669b-4f23-a822-1cc1c4b4776a,"None. Spring Only. Beh Sci 330. Mental Health and the Military. 3(1). This course examines the development, nature, and treatment of psychological disorders within a biopsychosocial context with a special focus on particular disorders that are most prevalent in a military population. There is an intentional focus on leadership and military applications to better equip new leaders in our Air and Space Forces to best respond to various mental health concerns. Final exam or final project. Prereq: Beh Sci 110",BEH SCI 330; BEH SCI 110,,,,,,,,
Beh Sci 414,8111b2a7-2ea9-4afb-8436-632d051459b6,Beh Sci 314 and 1 additional 300 or 400 level Behavioral Sciences course,BEH SCI 314,,ADDITIONAL 300; 400,,,,,,
Biology 360,10934bad-98e9-40d4-a86b-6ebe2d720e68,Biology 215; Chem 230 or Chem 233 or concurrent enrollment,CHEM 230; CHEM 233,,,BIOLOGY 215,,,,,
Biology 363,07a5976e-2614-4c0e-af8d-a0e91d589fbc,Biology 215; Chem 230 or Chem 233 or concurrent enrollment,CHEM 230; CHEM 233,,,BIOLOGY 215,,,,,
Biology 481,34db78c9-a146-4100-800e-cd2f9d7bb0ee,Biology 380 or concurrent enrollment with department approval,BIOLOGY 380,,,,,,,,
Chem 222,1cfc8c02-8220-4cb0-949e-7a19c91ba44a,Chem 200 or DFCH approval,CHEM 200,,,,,,,,
Chem 230,c3946858-1ca8-4357-99cc-b887bb61c914,Chem 200 or taken concurrently with approval from DFCH Department Head,CHEM 200,,,,,,,,
Chem 336,726aeff7-26e2-4d65-88a2-6ea56b03054b,Chem 335 or DFCH approval,CHEM 335,,,,,,,,
Chem 350,cf7ebf50-11f4-4c6c-b985-2e08089832d4,Chem 200 or DFCH approval,CHEM 200,,,,,,,,
Chem 431,b1c04a54-16e7-49bc-beff-72188b15fd6a,Chem 335 or Department approved equivalent semester of quantum chemistry,CHEM 335,,,,,,,,
Chem 440,e918a904-96a4-43b2-9e3b-26eb06766b1a,"Chem 234, Chem 243, and Chem 335 or DFCH approval",CHEM 234; CHEM 243; CHEM 335,,,,,,,,
Chem 445,ecaa2cd4-791e-452c-ac23-f0779ee4c8d5,"Chem 234, Chem 243, Chem 335, and Chem 444. Coreq: Chem 431 or DFCH approval",CHEM 444,CHEM 431,,CHEM 234; CHEM 243; CHEM 335; CHEM 444,,,,,
Chem 481,306c6f9f-36a5-4a27-992a-02dd29151ac5,Chem 234 or DFCH approval,CHEM 234,,,,,,,,
Civ Engr 330,d68cc4e1-4038-4fda-a85c-27e0dd205477,Mech Engr 220 and completed or enrolled in Math 245,MECH ENGR 220,,COMPLETED; ENROLLED IN MATH 245,,,,,,
Civ Engr 352,79ecf3a5-2565-4b42-a721-fad0ce9a5210,Civ Engr 351 or department approval,CIV ENGR 351,,,,,,,,
Civ Engr 361,760e34c9-45aa-4de2-83eb-d43c0f10dba6,Mech Engr 220 and Civ Engr 351 or department approval,MECH ENGR 220; CIV ENGR 351,,,,,,,,
Civ Engr 363,304667aa-1786-408f-8696-31721ef75502,"Comp Sci 110, Civ Engr 351, or Department Head approval",COMP SCI 110; CIV ENGR 351,,,,,,,,
Civ Engr 373,9a142565-1856-4033-8fe3-a3d96ac8a6c1,"Civ Engr 330, Civ Engr 351, or Department approval",CIV ENGR 330; CIV ENGR 351,,,,,,,,
Civ Engr 390,cdbc1200-07db-4c7d-98a4-07f4e70bf37a,Civ Engr 351 or department approval,CIV ENGR 351,,,,,,,,
Civ Engr 462,4021276d-3990-456e-96c8-083683b447ba,C- or better in Civ Engr 361. Coreq: Civ Engr 362 and Civ Engr 390,,CIV ENGR 390,BETTER IN CIV ENGR 361,,CIV ENGR 362; CIV ENGR 390,,,,
Civ Engr 464,77d8c170-5863-4686-b8c4-f9c459ccad84,Civ Engr 215 and Civ Engr 351; or department approval,CIV ENGR 351,,,CIV ENGR 215; CIV ENGR 351,,,,,
Civ Engr 493,9932c9ac-4a2e-4b02-a3cc-8da41c3bbf46,Civ Engr 390. Civ Engr 495. Special Topics. 3(1). Selected topics in civil engineering. Final exam or final report. Prereq: Department approval,CIV ENGR 390,,CIV ENGR 495,,,,,,
Comp Sci 314,5a1c7026-9e5b-43d1-8bee-e701e4af6d9c,Physics 242 or department permission,PHYSICS 242,,,,,,,,
Comp Sci 351,13530318-f278-44ba-810d-5a1ad58c4324,Comp Sci 210 or department approval,COMP SCI 210,,,,,,,,
Comp Sci 362,7aa3727d-2279-404e-bdb9-ea25bf31a992,"Comp Sci 210, Comp Sci 211, or Comp Sci 212; Math 356 or Math 377",COMP SCI 210; COMP SCI 211; COMP SCI 212; MATH 356; MATH 377,,,,,,,,
Comp Sci 364,04c8cfd4-c53d-42ab-b349-2c0914453a7f,Comp Sci 210 or Comp Sci 211 or Comp Sci 212,COMP SCI 210; COMP SCI 211; COMP SCI 212,,,,,,,,
Comp Sci 380,5452e55e-0ec4-4788-868b-02b86b631714,Comp Sci 220; Math 340 or Math 374,MATH 340; MATH 374,,,COMP SCI 220,,,,,
Comp Sci 471,c6854b6c-e731-4f22-a1d9-5cbf2d31f512,Comp Sci 210 or Comp Sci 212,COMP SCI 210; COMP SCI 212,,,,,,,,
Creat Art 499A,db67e8ac-62c8-4e12-827d-a0c095d5b50f,Comp Sci 220 and either ECE 281 or Comp Sci 351,COMP SCI 220; ECE 281; COMP SCI 351,,,,,,,,
Cyber Sci 431,c981669f-940a-4b6f-8263-e1cda83ddfdc,"Comp Sci 210, Comp Sci 211, or Comp Sci 212; Math 340, Math 472, or Math 474; or department approval",COMP SCI 210; COMP SCI 211; COMP SCI 212; MATH 340; MATH 472; MATH 474,,,,,,,,
Cyber Sci 499,e54131f1-25bc-46ff-b6d1-ae89bf9d3d95,"Comp Sci 210, 211, or 212",COMP SCI 210,,212,,,,,,
Data 422,b3c703d8-25a9-4b12-b622-06f17dbecd4d,Data 421 or course director approval,DATA 421,,,,,,,,
Econ 351,5cdca445-4c73-4f25-8829-365efcc07992,Econ 201; Econ 350 or Econ 374,ECON 350; ECON 374,,,ECON 201,,,,,
Econ 367,4643ca4f-12b1-4c5d-9c19-443e04992d13,Econ 332 and 333 (or equivalent) or consent of instructor,ECON 332,,333,,,,,,
Econ 369,0ba6cb5d-7f8e-4936-9025-96890084a7e4,Math 300 or equivalent; cadets may not receive credit for both Econ 369 and Econ 365,MATH 300; ECON 365,,NOT RECEIVE CREDIT FOR,NOT RECEIVE CREDIT FOR BOTH ECON 369; ECON 365,,,,,
Econ 377,c2287b5d-531d-4b88-bf28-d6eba16b3d36,"Econ 333 or Ops Rsch 331 and either Math 300, Math 356 or Math 377, or equivalent (or department approval)",ECON 333; OPS RSCH 331; MATH 300; MATH 356; MATH 377,,,,,,,,
Econ 411,3646f403-acfc-440f-a6c5-250abcf42861,Econ 333 or Ops Rsch 331,ECON 333; OPS RSCH 331,,,,,,,,
Econ 422,e01ded7c-cb2a-4421-bbb8-3ecbdadc6c1b,Econ 333 (or Ops Rsch 331) and Econ 365,OPS RSCH 331; ECON 365,,,ECON 333; ECON 365,,,,,
Econ 423,c6ba1b0f-beca-43d6-986c-f51923e98d29,Econ 333 or Ops Rsch 331 (or department approval),ECON 333; OPS RSCH 331,,,,,,,,
Econ 450,940284a1-fbf6-4600-a038-8aa90105bce1,Econ 333 and Econ 350 (or departmental approval),ECON 350,,,ECON 333; ECON 350,,,,,
Econ 454,23e92dc6-3e3b-457d-9d7e-4f2881168a74,Econ 201; Econ 350 or Econ 374. Final exam or final project,ECON 350; ECON 374,,,ECON 201,,,,,
Econ 473,76d1219b-f261-4ed9-a1ce-c976fb4f4607,Econ 333 or Ops Rsch 331 or department approval,ECON 333; OPS RSCH 331,,,,,,,,
Econ 476,e9b4205f-6fea-484d-b51f-02ea2638c170,"Econ 201, Econ 333 (or Ops Rsch 331), and Econ 365",OPS RSCH 331; ECON 365,,,ECON 201; ECON 333; ECON 365,,,,,
Econ 480,6a3cdba5-5e84-46a1-a88b-824996f0b35d,"Econ 333 or Econ 423; C1C standing in the Economics major, or department approval",ECON 333; ECON 423,,,,,,,,
Ece 386,89d11f18-5d87-4b42-859f-d0e72cda4898,Comp Sci 110 and ECE 281 or instructor approval,COMP SCI 110; ECE 281,,,,,,,,
Ece 387,1e192e3b-994f-4bc9-8989-b44a93fbab40,"Comp Sci 206, Comp Sci 210, Comp Sci 211, Comp Sci 212, or department approval",COMP SCI 206; COMP SCI 210; COMP SCI 211; COMP SCI 212,,,,,,,,
Ece 444,36e90494-8859-43b2-8c9f-580ab2610491,ECE 343 or department approval,ECE 343,,,,,,,,
Ece 446,80e2969a-e2c4-45c9-9098-5030a26bf285,"Math 346, Math 356 or Math 377, and Engr 342",MATH 346; MATH 356; MATH 377; ENGR 342,,,,,,,,
Ece 447,18c6019f-d7cb-4cf6-bb57-a3209db1d637,"ECE 333, ECE 346, and Math 356 (or department approval)",MATH 356,,,ECE 333; ECE 346; MATH 356,,,,,
Ece 464,cfaf1507-b4e8-4266-86a3-533cf91eda77,ECE 463 or department approval,ECE 463,,,,,,,,
Ece 484,a502d9f6-87ab-444a-ae4e-7b5171db517b,"ECE 373 or ECE 383, or department approval",ECE 373; ECE 383,,,,,,,,
Ece 485,4a6eb203-222a-424b-82e8-16970118c777,"Math 300, Math 356, or Math 377; and ECE 382",MATH 300; MATH 356; MATH 377; ECE 382,,,ECE 382,,,,,
Ece 487,9396b871-fb7a-48e7-9705-4652e821c509,ECE 346 and Math 356/377 or department approval,ECE 346; MATH 356,,,,,,,,
Engr 342,0c53c994-1695-4458-82ed-62ec58ce8cf6,Engr 341 or Mech Engr 325 or ECE 332 or department approval. (Administered by Department of Astronautics),MECH ENGR 325; ECE 332,,ENGR 341,,,,,,
Engr 443,7775df85-e4aa-47b9-9782-7e135bb8ce33,"Math 346, Math 356 (or Math 377), and Engr 342 (or ECE 333 or Mech Engr 325 or Aero Engr 457). (Administered by Department of Astronautics)",MATH 377; ENGR 342; ECE 333; MECH ENGR 325; AERO ENGR 457,,,MATH 346; MATH 356; ENGR 342,,,,,
English 200S,b03c9dfc-2bfd-4021-bcea-6e67245d27a2,English 111 and Academy Scholar status or Department Head and Martinson Honors Program Director approval,ENGLISH 111,,,,,,,,
English 211S,5097e8a0-7a25-49d4-a4ab-7a916a10637e,English 111 and Academy Scholar status or Department Head and Martinson Honors Program Director approval,ENGLISH 111,,,,,,,,
English 345,1e21fed6-a1c1-472a-a863-9dd699a4f59b,"English 211. Sem hours: 3 fall or spring. English 350. World Literature. 3(1). This course focuses on world literature, which may include Anglophone or literature in translation across different time periods. Topics may include literature that focuses on Africa, Europe, Latin America, the Pacific Islands and South East Asia, or Asia, individually or in relation to other regions. Repeatable once. Final paper and/or project. Prereq: English 211",ENGLISH 211; ENGLISH 350,,,,,,,,
English 411,62a882af-7417-4e73-8df3-fc0fad116e43,English 211 or English 212 or English 200S,ENGLISH 211; ENGLISH 212; ENGLISH 200S,,,,,,,,
Geo 340,d661eed7-9e1d-4d63-9125-0a5fff6356b1,Geo 310 or Course Director Approval,GEO 310,,,,,,,,
History 200,db2a15c2-3d84-4774-8dab-52d9921ac365,History 100 or department approval,HISTORY 100,,,,,,,,
History 300S,76d99f77-e9b9-4468-a6f8-8845849b65b6,History 100 or 100S and Academy Scholar status or Department Head and Martinson Honors Program Director approval,HISTORY 100,,100S,,,,,,
Hum 430,66f737b3-056e-42fc-9fc5-2d415d21bab6,History 300 or divisional approval. (Administered by the Department of History),HISTORY 300,,,,,,,,
Law 340,0db4f4bf-5cab-428e-a97d-cf089f7bb516,Law 220 or department approval,LAW 220,,,,,,,,
Law 363,3c41c551-cefc-4382-b358-45ae4d92b9c6,Law 220 or department approval,LAW 220,,,,,,,,
Law 412,4091d84f-13ff-455c-af1d-5a196ebfc733,Law 220 or departmental approval,LAW 220,,,,,,,,
Law 421,e1f541ea-5848-4ded-8665-41de4a665d33,Law 220 and Legal Studies major with C1C standing or departmental approval,LAW 220,,,,,,,,
Law 422,34882e97-0afa-4352-b60a-d2cb39b3da1e,Law 220 and C1C standing or departmental approval,LAW 220,,,,,,,,
Law 442,33e4a6d1-81eb-4daf-b5c0-09f158f060c2,Law 220 or departmental approval,LAW 220,,,,,,,,
Law 456,8878262b-eb3e-4947-ac77-51fb78af7e92,Law 220 or department approval,LAW 220,,,,,,,,
Law 463,4c7e85d6-97d4-460f-9ffe-f1450e10a5a3,Law 220 or department approval,LAW 220,,,,,,,,
Law 485,03fb4e3a-a6fd-42e9-82ad-e092b4f5e5af,Law 421 and Legal Studies major with C1C standing or department approval,LAW 421,,,,,,,,
Mgt 337,b39e405d-bac9-4f88-be9b-77043539a7fa,Mgt 341 or AIC approval,MGT 341,,,,,,,,
Mgt 345,3f4f9254-6395-44c7-93f6-0eee1dd756df,Mgt 303 and Mgt 345 or AIC approval,MGT 303,,,,,,,,
Mgt 382,4d61e246-fa23-43ea-bd55-2984db7239af,"C or better in Mgt 337 or Sys Engr 336, or AIC approval",SYS ENGR 336,,C; BETTER IN MGT 337,,,,,,
Mgt 401,dc8b2158-62d5-400a-9f54-9b2824d88f36,"Mgt 303, Mgt 345, and C1C standing or AIC approval",MGT 303; MGT 345,,,,,,,,
Mgt 440,9b95bba5-8aa3-40aa-bffd-c43b0412aa1f,Mgt 303 or AIC approval,MGT 303,,,,,,,,
Mgt 472,1f2fd88b-8f9c-4b6c-a062-a49e57610889,Mgt 303 or AIC approval; C1C standing; Mgt or Soc Sci major,MGT 303,,,,,,,,
Math 245,b28d4ebe-658a-4b61-b96c-6b7382b4e269,Prior completion of Math 243 (or Math 253) is strongly recommended. C or better in Math 142 (or Math 152) or advanced-placement through DFMS exams. Waiver authority is the DFMS Deputy Head for Academics,MATH 253; MATH 152,,PRIOR COMPLETION OF MATH 243; C; BETTER IN MATH 142,,,,,,
Math 320,3e8a50a1-776a-4b3a-97cf-30cb33d14cc7,Math 142 or Math 152 with a ‘C’ or better. Waiver authority is the Deputy Head for Academics,MATH 142; MATH 152,,,,,,,,
Math 340,44e7915b-06ce-4d0d-827e-fe7cc20e99f9,Comp Sci 110 and C3C standing or department approval,COMP SCI 110,,,,,,,,
Math 342,4720bbd9-1401-4155-af3b-2d72695f0f05,"Math 245 and one of Comp Sci 206, 210, 211, or 212. Coreq: one of Math 360 or Math 344. Waiver authority is the Deputy Head for Academics",MATH 245,MATH 344,ONE OF COMP SCI 206; 212; ONE OF MATH 360,,,,,,
Math 344,d9166b97-2676-4c4f-833d-10459caebe59,Math 142 or department approval,MATH 142,,,,,,,,
Math 346,ad594394-8b18-4bab-bffc-c1935001a328,C or better in both Math 243 (or Math 253) and Math 245. Waiver authority: Deputy Head for Academics,MATH 243; MATH 253; MATH 245,,C; BETTER IN,,,,,,
Math 359,588f8d79-7fb7-4653-8ca6-ad9a4c0c8039,Math 356 or Math 377,MATH 356; MATH 377,,,,,,,,
Math 366,365ecc41-08ed-4421-b3fe-fc2258117b95,Math 360 or department approval,MATH 360,,,,,,,,
Math 378,bd4588d9-bd33-4639-95bf-f0d31aa5a16a,Math 377 or Math 356,MATH 377; MATH 356,,,,,,,,
Math 443,f6f7fc5f-99e0-4f8f-b791-82832bf4eda3,"Math 346 or Math 469, and one of Math 342 or Physics 356, or department permission",MATH 346; MATH 469; PHYSICS 356,,ONE OF MATH 342,,,,,,
Math 451,f239fecf-fde9-4ea0-b453-d9ec6efc2b51,Math 243/253 and Math 245 or department approval,MATH 243; MATH 245,,,,,,,,
Math 465,b16bb288-e376-4ff2-bcb5-435c45e335bf,Math 320 or department approval,MATH 320,,,,,,,,
Math 467,0a29cdea-a1b7-4d9c-ba26-430cb2ae0eb9,Math 366 or department approval,MATH 366,,,,,,,,
Math 468,36367704-45ed-4908-8b97-947ba295098e,Math 243/253 and Math 245 or department approval,MATH 243; MATH 245,,,,,,,,
Math 469,08271e6d-df7b-4f9f-a19e-b8b39cd98785,243/253 and Math 245 or department head approval,MATH 245,,,,,,,,
Math 470,daef426e-ce84-4446-a461-244ec2c9881f,Math 346 or Math 469 or department head approval,MATH 346; MATH 469,,,,,,,,
Math 474,5043ad70-d696-4356-9f45-73b1cb907fc5,One of Math 320 or Math 340; and one of Math 245 or Math 344; or department approval,MATH 340; MATH 344,,ONE OF MATH 320; ONE OF MATH 245,,,,,,
Mech Engr 340,baa27e60-31e9-43d2-8dab-6694f57b2b02,Math 245 and Mech Engr 312 or department approval,MATH 245; MECH ENGR 312,,,,,,,,
Mech Engr 421,79fb6c83-11d9-4cc7-9e21-edf8ec73f9ea,Mech Engr 320 or Physics 355; completed or enrolled in Math 346 or Engr 346,MECH ENGR 320; PHYSICS 355; ENGR 346,,COMPLETED; ENROLLED IN MATH 346,,,,,,
Mech Engr 431,b3deeecc-1c4f-496a-85dd-bd5814fe2336,"Mech Engr 330 and Math 342, Math 344, Math 346, or Engr 346",MECH ENGR 330; MATH 342; MATH 344; MATH 346; ENGR 346,,,,,,,,
Mech Engr 441,907d07d8-c7c9-4d18-a2c8-3a94243b35b1,"Mech Engr 312. Coreq: Mech Engr 341 and Math 342, Math 346, or Engr 346",,MECH ENGR 341; MATH 342; MATH 346; ENGR 346,,MECH ENGR 312,,,,,
Mech Engr 460,2c54b0f6-e84c-4c62-a22b-d82dd118fecd,"ECE 315, Mech Engr 320, Mech Engr 330, Math 300 or Math 356",ECE 315; MECH ENGR 320; MECH ENGR 330; MATH 300; MATH 356,,,,,,,,
Mech Engr 468,1ed9b663-c068-4237-9e3f-d12449de80f4,"Mech Engr 312. Coreq: Mech Engr 341, or department approval",,MECH ENGR 341,,MECH ENGR 312,,,,,
Meteor 330,4f4a6fad-1ed4-4f25-bbf0-75c3f310954c,Math 243 (or Math 253) and Meteor 320,MATH 253; METEOR 320,,,MATH 243; METEOR 320,,,,,
Meteor 351,e601a9fe-d4b1-4a92-83dc-e7f64077903d,Math 243 (or Math 253) and Meteor 320. Coreq: Meteor 330,MATH 253; METEOR 320,,,MATH 243; METEOR 320,METEOR 330,,,,
Ops Rsch 311,002d74bf-7b1a-4295-b494-61fc4ecc7b75,"Math 344 or Math 360, and either Ops Rsch 310 or department approval. Coreq: Math 243/253",MATH 344; MATH 360; OPS RSCH 310,,,,MATH 243,,,,
Ops Rsch 312,1d3d9a06-a822-4347-b7c7-0165314f6c44,"Math 356, Math 377, or department approval",MATH 356; MATH 377,,,,,,,,
Ops Rsch 417,2f3331a6-b27a-4300-ae57-0a97c27e94dc,"Comp Sci 210, Comp Sci 211, or Comp Sci 212",COMP SCI 210; COMP SCI 211; COMP SCI 212,,,,,,,,
Ops Rsch 422,8a1897e3-7d7a-422a-b9ba-ce997e0febef,"Ops Rsch 421, C1C standing in the Ops Rsch or Sys Engr majors, or course director approval",OPS RSCH 421,,,,,,,,
Ops Rsch 476,79280b31-99c6-4377-96ea-0a3a9979b517,"Math 377 (or Math 356 with a B or higher) and Ops Rsch 310, or Course Director approval",MATH 377; MATH 356; OPS RSCH 310,,,,,,,,
Philos 320,fdc366fb-6712-49d8-a4f7-cae5e95bf86d,"Philos 210, Philos 200, or instructor approval",PHILOS 210; PHILOS 200,,,,,,,,
Phy Ed 219,e446d907-acf0-41da-8296-36847a333e65,Phy Ed 111 or 119. Final exam,PHY ED 111,,119,,,,,,
Phy Ed 344,735fa4a4-3d5c-4951-a8cb-ea0266d41878,Phy Ed 112 or Phy Ed 152/252/352/452,PHY ED 112; PHY ED 152,,,,,,,,
Phy Ed 345,494a5abb-f575-4515-84d4-28f45f1e6db8,Phy Ed 112 or at least one of the following: Phy Ed 152/252/352/452,PHY ED 112; PHY ED 152,,,,,,,,
Phy Ed 491,47fdb409-e690-4ab7-976c-e3ec2976b3bd,"PE 315 (Combatives II), Sem hrs: 0.5, fall or spring. This course is a contributor to the development and assessment of the Warrior Ethos as Airmen and Guardians outcome. Phy Ed 495. Special Topics Advanced Warfighter Capstone. 0.5(2xx) Selected topics in crossdisciplinary team-based warfighting physical skills. Prereq: PE 222 (Water Survival), PE 315 (Combatives II), Sem hrs: 0.5, fall or spring. This course is a contributor to the development and assessment of the Warrior Ethos as Airmen and Guardians outcome. Phy Ed 499. Independent Exercise Study. 0.5(0) Independent study focused on physical exercise",PE 315; PHY ED 495; PE 222; PHY ED 499,,,,,,,,
Physics 242,8ba691eb-50c0-4e1f-8d32-327786e7c7f8,Physics 110 and Math 142 or department approval. Coreq: Phys 215 or department approval,PHYSICS 110; MATH 142,,PHYS 215,,,,,,
Physics 264,c33a8d5e-c32a-4e86-97e4-9f9ffc7003cf,Physics 215 or department approval. Coreq: Math 243 (or Math 253),PHYSICS 215,MATH 253,,,MATH 243,,,,
Physics 291,3650cc91-16fc-4190-9584-3e51659ec6d9,Physics 215. Coreq: Math 245 or department approval,,MATH 245,,PHYSICS 215,,,,,
Physics 314,1cfd10ca-bb1e-48f5-96a9-82306803e7da,C or better in Physics 215 and Physics 242,PHYSICS 242,,C; BETTER IN PHYSICS 215,,,,,,
Physics 361,b90265c0-0368-47fe-97cc-c64a52d5c9db,Physics 215. Coreq: Math 346 or department approval,,MATH 346,,PHYSICS 215,,,,,
Physics 370,3c120f8a-6dd4-4490-9192-0d30f009995c,Physics 215 or department approval,PHYSICS 215,,,,,,,,
Physics 371,1238faa2-4f25-42fe-9dc3-e381d15a499b,Physics 215 or department approval,PHYSICS 215,,,,,,,,
Physics 375,8f04c34e-c242-40bf-b0da-1921628be846,Physics 215 or department approval,PHYSICS 215,,,,,,,,
Physics 421,71c6a149-40bf-4986-9579-450a32319ec8,"Math 300, Math 356, or Math 377. Coreq: Physics 465, Chem 336, or department approval",MATH 300; MATH 356; MATH 377,PHYSICS 465; CHEM 336,,,,,,,
Physics 451,b50b06dc-6ae1-49d2-af24-1194ecff854e,Physics 370 recommended but not required. Coreq: Physics 362 and Math 346 or department approval. Not offered every year; check with DFPM before scheduling,,PHYSICS 362; MATH 346,,PHYSICS 370,,,,,
Physics 465,b3738d14-c5c0-4a1e-9802-e014b0e838d9,"Physics 264 and Math 346, or department approval",PHYSICS 264; MATH 346,,,,,,,,
Physics 466,e3277ddf-2fb0-4c56-9aca-e5f36d86991a,Physics 465 or department approval,PHYSICS 465,,,,,,,,
Physics 473,7b7fb4c2-1c06-453b-add3-c53a9c6447b6,Physics 215. Coreq: Physics 465 and Math 245 or department approval. Not offered every year; check with DFPM before scheduling,,PHYSICS 465; MATH 245,,PHYSICS 215,,,,,
Physics 482,350fd0a6-dad8-4c43-ad46-ef045e7d7c95,"Physics 264 and Physics 371, or department approval. Coreq: Physics 362 or department approval",PHYSICS 264; PHYSICS 371,PHYSICS 362,,,,,,,
Pol Sci 300,7fba2616-791f-44fc-b088-f0cd793e2590,"Math 300, Math 356, or Math 377",MATH 300; MATH 356; MATH 377,,,,,,,,
Pol Sci 302,21d49017-8595-4929-b0cc-86c6105df225,Pol Sci 211 or Soc Sci 212,POL SCI 211; SOC SCI 212,,,,,,,,
Pol Sci 390,e2492c07-9850-4972-bfab-e769fff442d4,Soc Sci 212 or Soc Sci 311. None,SOC SCI 212; SOC SCI 311,,,,,,,,
Pol Sci 392,2a92e3ca-a992-4870-980c-2d5420a0554e,Soc Sci 212 or Soc Sci 311. None,SOC SCI 212; SOC SCI 311,,,,,,,,
Soc Sci 467,4e31f3ce-fb4d-4f37-abdd-50cb18f4ff00,"Physics 310, Pol Sci 211 and MSS 251 or DFPS or DFMI department head approval",PHYSICS 310; POL SCI 211; MSS 251,,,,,,,,
Sys Engr 311,93cc0aae-6006-4682-9914-df4e64ade979,"Ops Rsch 310 Coreq: Math 300, Math 356, or Math 377",,MATH 300; MATH 356; MATH 377,,OPS RSCH 310,,,,,
Sys Engr 320,e2ee1b14-4c15-4434-88e3-2496e0adbcc6,"Math 142/152 (C or better), and Comp Sci 211. The Course Director may waive Comp Sci 211 with evidence of prior MatLab skills",COMP SCI 211,,COURSE DIRECTOR MAY WAIVE COMP SCI 211,MATH 142; COMP SCI 211; COURSE DIRECTOR MAY WAIVE COMP SCI 211,,,,,
